,gameName,genre,reviewScore,playTime
327,Tom Clancy's Splinter Cell: Chaos Theory,Action,83,74.56
328,Legacy of Kain: Soul Reaver,Action,78,24.67
329,Uncharted: The Nathan Drake Collection,Action,84,55.02
330,Dark Souls II,Role-Playing,82,140.1
331,Prince of Persia,Action,72,46.7
332,Beyond Good & Evil,Adventure,81,74.27
333,Captain Toad: Treasure Tracker,Puzzle,78,7.08
334,Kane & Lynch 2: Dog Days,Shooter,56,22.0
335,Super Mario Bros. 3,Platform,86,13.2
336,inFAMOUS: Second Son,Action,76,19.98
337,New Super Mario Bros.,Platform,77,6.47
338,Worms Armageddon,Strategy,78,7.98
339,Tom Clancy's Splinter Cell: Blacklist,Action,80,56.18
340,Crysis 3,Shooter,73,45.19
341,Dead Rising,Action,76,48.25
342,Final Fantasy IV,Simulation,79,64.93
343,Metal Slug 3,Shooter,76,8.96
344,Sonic & Sega All-Stars Racing,Racing,71,23.96
345,Star Wars: The Old Republic,Role-Playing,76,80.7
346,Lightning Returns: Final Fantasy XIII,Role-Playing,70,169.62
347,Tomb Raider Chronicles,Action,61,10.42
348,The Last Remnant,Role-Playing,72,121.15
349,Ultra Street Fighter IV,Fighting,79,9.21
350,Gauntlet,Action,67,13.84
351,Viking: Battle for Asgard,Action,58,43.2
352,Sid Meier's Civilization: Beyond Earth,Strategy,66,17.58
353,Luigi's Mansion,Action,80,6.58
354,Tom Clancy's Splinter Cell: Conviction,Action,73,28.43
355,Stubbs the Zombie in Rebel Without a Pulse,Action,68,14.23
356,Metro: Last Light,Action,80,66.91
357,Silent Hill,Action,83,15.65
358,LEGO Star Wars III: The Clone Wars,Action,71,69.21
359,Overlord: Raising Hell,Action,74,22.5
360,Dead Rising 3,Action,73,27.91
361,The Legend of Zelda,Action,76,16.87
362,Assassin's Creed III: Liberation,Action,62,55.33
363,Sniper: Ghost Warrior 2,Shooter,63,15.32
364,DuckTales: Remastered,Action,74,29.45
365,F1 2015,Racing,55,24.0
366,Metal Slug X,Shooter,79,3.78
367,Rome: Total War,Strategy,83,33.6
368,Quake II,Shooter,79,18.98
369,Steins;Gate,Adventure,90,57.42
370,The Legend of Heroes: Trails of Cold Steel,Role-Playing,83,249.02
