,Unnamed: 0,gameName,genre,reviewScore,playTime,appID
280,280,X-COM: UFO Defense,Strategy,87,37.18,7760
281,281,Lords of the Fallen,Role-Playing,64,59.48,1501750
282,282,Dungeon Defenders,Role-Playing,71,35.41,65800
283,283,Hearts of Iron IV,Strategy,80,53.15,394360
284,284,Sniper Elite,Shooter,63,25.82,1029690
285,285,Battlefield: Bad Company 2,Shooter,76,33.63,
286,286,Tropico 5,Simulation,72,42.18,245620
287,287,The Last of Us,Action,92,15.52,2531310
288,288,Rayman Origins,Platform,82,54.36,207490
289,289,Call of Duty: Advanced Warfare,Shooter,69,47.92,3595230
290,290,Until Dawn,Adventure,78,15.66,2172010
291,291,Shin Megami Tensei: Persona 3 FES,Role-Playing,88,164.06,
292,292,Final Fantasy XIII-2,Role-Playing,74,133.48,292140
293,293,Saints Row: Gat out of Hell,Action,63,32.26,301910
294,294,Shantae and the Pirate's Curse,Platform,80,38.4,345820
295,295,Mega Man Legacy Collection,Platform,79,84.65,1798010
296,296,Risen,Role-Playing,75,59.05,40300
297,297,Metal Gear Solid 2: Sons of Liberty,Action,87,80.41,2131640
298,298,Paper Mario,Role-Playing,86,47.18,
299,299,Devil May Cry,Action,74,49.51,601150
300,300,Final Fantasy X,Role-Playing,87,316.31,39210
301,301,Sid Meier's Civilization IV,Strategy,82,15.52,289070
302,302,The Legend of Zelda: Majora's Mask,Action,90,37.44,
303,303,Tom Clancy's Splinter Cell,Action,76,67.79,235600
304,304,Tomb Raider: The Last Revelation,Action,71,17.45,224980
305,305,Metroid Prime,Shooter,89,27.17,
306,306,LEGO Jurassic World,Action,73,76.14,352400
307,307,God Eater 2: Rage Burst,Role-Playing,71,112.59,438490
308,308,LEGO City Undercover,Platform,76,70.71,578330
309,309,"Warhammer 40,000: Dawn of War II - Retribution",Strategy,74,9.52,15620
310,310,Doom 3: Resurrection of Evil,Shooter,72,19.99,
311,311,Super Metroid,Action,89,23.21,
312,312,Silent Hill 2,Action,91,40.32,2124490
313,313,The Lord of the Rings: War in the North,Action,69,39.34,1003400
314,314,Titan Quest,Role-Playing,73,26.08,475150
315,315,Project CARS,Racing,72,101.23,
316,316,Zombie Army Trilogy,Shooter,64,43.59,301640
317,317,Crazy Taxi,Racing,70,11.85,
318,318,Hitman: Contracts,Shooter,74,41.14,247430
319,319,Metal Gear Solid 3: Snake Eater,Action,92,78.75,2417610
320,320,Donkey Kong Country,Platform,82,13.82,
321,321,Medieval II: Total War,Strategy,84,31.17,1142710
322,322,Risen 2: Dark Waters,Role-Playing,72,116.63,40390
323,323,The LEGO Movie Videogame,Action,68,48.45,21000
324,324,EarthBound,Role-Playing,88,91.4,758610
325,325,Ys VIII: Lacrimosa of Dana,Role-Playing,86,111.52,579180
326,326,Super Mario Galaxy 2,Platform,89,27.3,
327,327,Tom Clancy's Splinter Cell: Chaos Theory,Action,83,74.56,13570
328,328,Legacy of Kain: Soul Reaver,Action,78,24.67,2521380
329,329,Uncharted: The Nathan Drake Collection,Action,84,55.02,
330,330,Dark Souls II,Role-Playing,82,140.1,374320
331,331,Prince of Persia,Action,72,46.7,2751000
332,332,Beyond Good & Evil,Adventure,81,74.27,2556990
333,333,Captain Toad: Treasure Tracker,Puzzle,78,7.08,
334,334,Kane & Lynch 2: Dog Days,Shooter,56,22.0,28000
335,335,Super Mario Bros. 3,Platform,86,13.2,1208620
336,336,inFAMOUS: Second Son,Action,76,19.98,
337,337,New Super Mario Bros.,Platform,77,6.47,
338,338,Worms Armageddon,Strategy,78,7.98,217200
339,339,Tom Clancy's Splinter Cell: Blacklist,Action,80,56.18,235600
340,340,Crysis 3,Shooter,73,45.19,2096610
341,341,Dead Rising,Action,76,48.25,265550
342,342,Final Fantasy IV,Simulation,79,64.93,1004640
343,343,Metal Slug 3,Shooter,76,8.96,250180
344,344,Sonic & Sega All-Stars Racing,Racing,71,23.96,212480
345,345,Star Wars: The Old Republic,Role-Playing,76,80.7,1286830
346,346,Lightning Returns: Final Fantasy XIII,Role-Playing,70,169.62,345350
347,347,Tomb Raider Chronicles,Action,61,10.42,225000
348,348,The Last Remnant,Role-Playing,72,121.15,
349,349,Ultra Street Fighter IV,Fighting,79,9.21,45760
350,350,Gauntlet,Action,67,13.84,258970
351,351,Viking: Battle for Asgard,Action,58,43.2,211160
352,352,Sid Meier's Civilization: Beyond Earth,Strategy,66,17.58,65980
353,353,Luigi's Mansion,Action,80,6.58,
354,354,Tom Clancy's Splinter Cell: Conviction,Action,73,28.43,235600
355,355,Stubbs the Zombie in Rebel Without a Pulse,Action,68,14.23,7800
356,356,Metro: Last Light,Action,80,66.91,287390
357,357,Silent Hill,Action,83,15.65,2947440
358,358,LEGO Star Wars III: The Clone Wars,Action,71,69.21,32510
359,359,Overlord: Raising Hell,Action,74,22.5,12710
360,360,Dead Rising 3,Action,73,27.91,265550
361,361,The Legend of Zelda,Action,76,16.87,2138610
362,362,Assassin's Creed III: Liberation,Action,62,55.33,911400
363,363,Sniper: Ghost Warrior 2,Shooter,63,15.32,1338770
364,364,DuckTales: Remastered,Action,74,29.45,237630
365,365,F1 2015,Racing,55,24.0,
366,366,Metal Slug X,Shooter,79,3.78,312610
367,367,Rome: Total War,Strategy,83,33.6,214950
368,368,Quake II,Shooter,79,18.98,2320
369,369,Steins;Gate,Adventure,90,57.42,412830
370,370,The Legend of Heroes: Trails of Cold Steel,Role-Playing,83,249.02,2138610
371,371,Deadly Premonition,Action,76,90.65,247660
372,372,Final Doom,Shooter,78,13.1,
373,373,Tom Clancy's The Division,Shooter,72,70.61,2221490
374,374,Prince of Persia: Warrior Within,Action,77,37.2,13500
375,375,Condemned: Criminal Origins,Action,75,28.98,
376,376,Tropico 3,Strategy,75,49.42,23490
377,377,Mini Ninjas,Action,70,31.51,35000
378,378,Kingdoms of Amalur: Reckoning,Role-Playing,77,143.69,1041720
379,379,Mount & Blade,Role-Playing,74,55.52,261550
380,380,Batman: Arkham City,Action,86,96.03,200260
381,381,Final Fantasy II,Role-Playing,62,17.98,359870
382,382,Halo 3,Shooter,83,30.19,1695794
383,383,"Warhammer 40,000: Dawn of War II - Chaos Rising",Strategy,78,10.82,
384,384,Halo: Reach,Shooter,81,30.63,1695793
385,385,Supreme Commander 2,Strategy,71,15.72,40100
386,386,The Legend of Zelda: Phantom Hourglass,Action,74,15.38,
387,387,The Legend of Zelda: Spirit Tracks,Action,74,22.58,
388,388,Chrono Cross,Role-Playing,83,183.59,1133760
389,389,Battlefield 3,Shooter,75,31.94,1238820
390,390,Disgaea: Hour of Darkness,Role-Playing,82,95.93,
391,391,Metroid: Zero Mission,Adventure,84,4.58,
392,392,Gothic 3,Role-Playing,73,45.58,39500
393,393,Fable III,Role-Playing,67,50.91,956450
394,394,Legacy of Kain: Defiance,Action,77,23.5,2521380
395,395,Paper Mario: The Thousand-Year Door,Role-Playing,90,31.47,
396,396,Dragon Age: Inquisition,Role-Playing,81,293.92,1222690
397,397,GRID,Racing,63,116.93,1307710
